1,Silicon Valley Is Not Your Friend.,"News
By: COHEN, NOAM. New York Times. 10/15/2017, Vol. 167 Issue 57751, Sunday Review p1-5. 3p. Abstract: The article offers the author's insights on the technological innovations in Silicon Valley, California. Topics mentioned include the social aspects of technology companies such as Google Inc., Facebook Inc., and Amazon.com Inc., the role of technological innovations to people, and the regulation for digital technology. Also mentiond are the development of online social networks and the management of mobile-advertising business. (AN: 125696216), Database: MasterFILE Elite
Subjects: SANTA Clara Valley (Santa Clara County, Calif.); GOOGLE Inc.; FACEBOOK Inc.; AMAZON.COM Inc.; TECHNOLOGY & society; ONLINE social networks
Add to folder
Click for Full Text options"
2,Google Places Fake News Ads On Fact-Check Sites? It’s True.,"News
By: DAISUKE WAKABAYASHI; QIU, LINDA. New York Times. 10/18/2017, Vol. 167 Issue 57754, pB1-B6. 2p. Abstract: The article reports that several fake news advertisements (ads) have been seen on the fact-checking websites of the social media firm Google Inc., such as PolitiFact.com and Snopes. One article in an ad reportedly states that U.S. President Donald Trump's wife Melania Trump was leaving the White House. In response, the advertiser accounts of Snopes and PolitiFact were terminated from Google's ad platform. (AN: 125747285), Database: MasterFILE Elite
Subjects: FALSE advertising; GOOGLE Inc.; ACCURACY in journalism; POLITIFACT.COM (Company); TRUMP, Melania, 1970-; GOOGLE (Web resource)
Add to folder
Click for Full Text options"
3,Google-Funded Think Tank Ousts Its Own Google Critic.,"News
By: VOGEL, KENNETH P.; Bennett, Kitty. New York Times. 8/31/2017, Vol. 166 Issue 57706, pA1-A16. 2p. Abstract: The article reports that New America Foundation has received more than $21 million from Google, with its parent company's executive chairman, Eric Schmidt. Google has rejected any suggestion that it played a role in New America's split with Open Markets. New America financial supporters have no influence or control over the research design, methodology, analysis or findings of New America research projects. (AN: 124899707), Database: MasterFILE Elite
Subjects: NEW America Foundation (Organization); GOOGLE Inc.; SCHMIDT, Eric E., 1955-; PROJECT management; COST control
Add to folder
Click for Full Text options"
4,Google Yields To Regulators In Eurozone.,"News
By: KANTER, JAMES; Daisuke Wakabayashi. New York Times. 9/28/2017, Vol. 167 Issue 57734, pB1-B2. 2p. Abstract: The article reports on the concessions of Google Inc. to the European regulators over its online shopping service. Topics discussed include an overview of Google's concessions, the trend of its online shopping service, the attribution of its service to its record anti-trust fine, and its effort in attracting businesses to go for online shopping. (AN: 125375509), Database: MasterFILE Elite
Subjects: CONCESSION bargaining; GOOGLE Inc.; ONLINE shopping; INVESTMENTS; ANTITRUST settlements; BUSINESS planning
Add to folder
Click for Full Text options"
5,"Walmart And Google Team Up, Eye On Amazon.","News
By: DAISUKE WAKABAYASHI; CORKERY, MICHAEL. New York Times. 8/23/2017, Vol. 166 Issue 57698, pB1-B3. 2p. Abstract: The article reports on a partnership between Google Inc. and Walmart to offer Walmart products to people who shop on Google Express. (AN: 124770939), Database: MasterFILE Elite
Subjects: GOOGLE Inc.; PARTNERSHIP (Business); WAL-Mart Stores Inc.
Add to folder
Click for Full Text options"
6,"At Google, Backing Values While Also Fostering Debate.","News
By: DAISUKE WAKABAYASHI. New York Times. 8/12/2017, Vol. 166 Issue 57687, pB1-B4. 2p. Abstract: The article offers information on the discussion that took place on an internal forum of Google's Memegen. It mentions the post by an employee who argued biological factors that explained the shortage of female engineers in Silicon Valley, California. The article focuses on the forum that enables employees of Google to search documents of the company on its internal network, make announcements and criticize management. The openness and transparent policies of Google is mentioned. (AN: 124576653), Database: MasterFILE Elite
Subjects: GOOGLE Inc.; FORUMS (Discussion & debate); WOMEN engineers; CORPORATE governance; TRANSPARENCY in organizations; EMPLOYEE rights
Add to folder
Click for Full Text options"
7,A Contentious Memo Ripples Beyond Google.,"News
By: DAISUKE WAKABAYASHI. New York Times. 8/9/2017, Vol. 166 Issue 57684, pB1-B6. 2p. 1 Color Photograph, 1 Black and White Photograph. Abstract: This article reports that James Damore, a software engineer at technology company Google, has written a memo, titled ""Google's Ideological Echo Chamber"" that has enraged advocates of greater diversity in the U.S. technology industry. Topics covered include how conservatives and the alt-right view Google and Silicon Valley, the firing of Damore by Google for violating the company's rules, and comments from venture capitalist Wesley Chan and law professor Katherine Stone on Damore's firing. (AN: 124525010), Database: MasterFILE Elite
Subjects: SOFTWARE engineers; GOOGLE Inc. -- Officials & employees; DIVERSITY in organizations; DISMISSAL of employees; STONE, Katherine
Add to folder
Click for Full Text options"
8,Google as Traffic Cop.,"News
By: DAISUKE WAKABAYASHI. New York Times. 9/27/2017, Vol. 167 Issue 57733, pB1-B3. 2p. Abstract: The article focuses on a finding by David North, editorial chairman of the World Socialist Web Site, regarding a decrease in the site's traffic in April 2017 following Google's stopping of redirecting search queries to the site. (AN: 125352602), Database: MasterFILE Elite
Subjects: GOOGLE Inc.; NORTH, David; WEBSITES
Add to folder
Click for Full Text options"
9,How To Get A Free Google Home Smart Speaker -- And Doughnuts.,"News
By: LOW, ELAINE. Investors Business Daily. 10/9/2017, p1-1. 1p. Abstract: The article discusses Google is handing out its new Google Home Mini smart speakers like candy or doughnuts. It mentions that Google has introduced a smart speaker that will pose a challenge to Apple's (AAPL) HomePod. It aslo mentions an increase in the U.S. citizens which are having voice-activated assistants. It also mentions about the Echo Dot from Amazon. Reading Level (Lexile): 1320. (AN: 125620203), Database: Regional Business News
Subjects: GOOGLE Home (Smart speaker); SMART speakers (Wireless technology); GOOGLE Inc.; APPLE Inc.; AMAZON Echo (Smart speaker); AMAZON.COM Inc.
Add to folder
HTML Full Text"
10,"Stocks Rally As Amazon Parries Google, Wal-Mart; Retailers Rise: Week In Review.","News
Investors Business Daily. 8/25/2017, p1-1. 1p. Abstract: The article presents business news briefs. Topics discussed include rise in the stocks of Standard & Poor's 500 Index; partnership between retail company Walmart and Google for trading Wal-Mart items through the voice-activated Google Home; and decrease in the prices of Whole Foods Market by the Amazon. Reading Level (Lexile): 1290. (AN: 124851348), Database: Regional Business News
Subjects: BUSINESS -- News briefs; STANDARD & Poor's 500 Index; STOCKS (Finance); WAL-Mart Stores Inc.; GOOGLE Inc.; GOOGLE Home (Smart speaker); AMAZON.COM Inc.; NATURAL foods -- Sales & prices
Add to folder
HTML Full Text"
